APA;Name;Year;Title;Authors;Proceeding;Abstract;Link;Google Scholar Reference
Baier, L., Jöhren, F., & Seebacher, S. (2019, June). Challenges in the Deployment and Operation of Machine Learning in Practice. In ECIS (Vol. 1).;1_ml_machine_data_learning;2019;Challenges in the Deployment and Operation of Machine Learning in Practice.;Lucas Baier, Fabian Jöhren, Stefan Seebacher;ECIS, 2019;Machine learning has recently emerged as a powerful technique to increase operational efficiency or to develop new value propositions. However, the translation of a prediction algorithm into an operationally usable machine learning model is a time-consuming and in various ways challenging task. In this work, we target to systematically elicit the challenges in deployment and operation to enable broader practical dissemination of machine learning applications. To this end, we first identify relevant challenges with a structured literature analysis. Subsequently, we conduct an interview study with machine learning practitioners across various industries, perform a qualitative content analysis, and identify challenges organized along three distinct categories as well as six overarching clusters. Eventually, results from both literature and interviews are evaluated with a comparative analysis. Key issues identified include automated strategies for data drift detection and handling, standardization of machine learning infrastructure, and appropriate communication and expectation management.;https://www.researchgate.net/profile/Lucas-Baier/publication/332996647_CHALLENGES_IN_THE_DEPLOYMENT_AND_OPERATION_OF_MACHINE_LEARNING_IN_PRACTICE/links/5cd57a7c92851c4eab924c03/CHALLENGES-IN-THE-DEPLOYMENT-AND-OPERATION-OF-MACHINE-LEARNING-IN-PRACTICE.pdf;todo
Van Rijn, J. N., Bischl, B., Torgo, L., Gao, B., Umaashankar, V., Fischer, S., ... & Vanschoren, J. (2013). OpenML: A collaborative science platform. In Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2013, Prague, Czech Republic, September 23-27, 2013, Proceedings, Part III 13 (pp. 645-649). Springer Berlin Heidelberg.;1_ml_machine_data_learning;2013;OpenML: A collaborative science platform;Jan N Van Rijn, Bernd Bischl, Luis Torgo, Bo Gao, Venkatesh Umaashankar, Simon Fischer, Patrick Winter, Bernd Wiswedel, Michael R Berthold, Joaquin Vanschoren;Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2013, Prague, Czech Republic, September 23-27, 2013, Proceedings, Part III 13, 645-649, 2013;We present OpenML, a novel open science platform that provides easy access to machine learning data, software and results to encourage further study and application. It organizes all submitted results online so they can be easily found and reused, and features a web API which is being integrated in popular machine learning tools such as Weka, KNIME, RapidMiner and R packages, so that experiments can be shared easily.;https://link.springer.com/chapter/10.1007/978-3-642-40994-3_46;uEp2uiMjEXoJ
Biggio, B., Corona, I., Maiorca, D., Nelson, B., Šrndić, N., Laskov, P., ... & Roli, F. (2013). Evasion attacks against machine learning at test time. In Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2013, Prague, Czech Republic, September 23-27, 2013, Proceedings, Part III 13 (pp. 387-402). Springer Berlin Heidelberg.;5_adversarial_attack_example_model;2013;Evasion attacks against machine learning at test time;Battista Biggio, Igino Corona, Davide Maiorca, Blaine Nelson, Nedim Šrndić, Pavel Laskov, Giorgio Giacinto, Fabio Roli;Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2013, Prague, Czech Republic, September 23-27, 2013, Proceedings, Part III 13, 387-402, 2013;In security-sensitive applications, the success of machine learning depends on a thorough vetting of their resistance to adversarial data. In one pertinent, well-motivated attack scenario, an adversary may attempt to evade a deployed system at test time by carefully manipulating attack samples. In this work, we present a simple but effective gradient-based approach that can be exploited to systematically assess the security of several, widely-used classification algorithms against evasion attacks. Following a recently proposed framework for security evaluation, we simulate attack scenarios that exhibit different risk levels for the classifier by increasing the attacker’s knowledge of the system and her ability to manipulate attack samples. This gives the classifier designer a better picture of the classifier performance under evasion attacks, and allows him to perform a more informed model selection (or parameter setting). We evaluate our approach on the relevant security task of malware detection in PDF files, and show that such systems can be easily evaded. We also sketch some countermeasures suggested by our analysis.;https://link.springer.com/chapter/10.1007/978-3-642-40994-3_25;5rjswQiJysgJ
Casalicchio, G., Molnar, C., & Bischl, B. (2019). Visualizing the feature importance for black box models. In Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2018, Dublin, Ireland, September 10–14, 2018, Proceedings, Part I 18 (pp. 655-670). Springer International Publishing.;3_explanation_model_machine_learning;2019;Visualizing the feature importance for black box models;Giuseppe Casalicchio, Christoph Molnar, Bernd Bischl;Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2018, Dublin, Ireland, September 10â€“14, 2018, Proceedings, Part I 18, 655-670, 2019;In recent years, a large amount of model-agnostic methods to improve the transparency, trustability, and interpretability of machine learning models have been developed. Based on a recent method for model-agnostic global feature importance, we introduce a local feature importance measure for individual observations and propose two visual tools: partial importance (PI) and individual conditional importance (ICI) plots which visualize how changes in a feature affect the model performance on average, as well as for individual observations. Our proposed methods are related to partial dependence (PD) and individual conditional expectation (ICE) plots, but visualize the expected (conditional) feature importance instead of the expected (conditional) prediction. Furthermore, we show that averaging ICI curves across observations yields a PI curve, and integrating the PI curve with respect to the distribution of the considered feature results in the global feature importance. Another contribution of our paper is the Shapley feature importance, which fairly distributes the overall performance of a model among the features according to the marginal contributions and which can be used to compare the feature importance across different models. Code related to this paper is available at: https://github.com/giuseppec/featureImportance .;https://link.springer.com/chapter/10.1007/978-3-030-10925-7_40;mmGt2WkviRgJ
Vanschoren, J., & Blockeel, H. (2009). A community-based platform for machine learning experimentation. In Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2009, Bled, Slovenia, September 7-11, 2009, Proceedings, Part II 20 (pp. 750-754). Springer Berlin Heidelberg.;1_ml_machine_data_learning;2009;A community-based platform for machine learning experimentation;Joaquin Vanschoren, Hendrik Blockeel;Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2009, Bled, Slovenia, September 7-11, 2009, Proceedings, Part II 20, 750-754, 2009;We demonstrate the practical uses of a community-based platform for the sharing and in-depth investigation of the thousands of machine learning experiments executed every day. It is aimed at researchers and practitioners of data mining techniques, and is publicly available at http://expdb.cs.kuleuven.be. The system offers standards and APIâ€™s for sharing experimental results, extensive querying capabilities of the gathered results and allows easy integration in existing data mining toolboxes. We believe such a system may speed up scientific discovery and enhance the scientific rigor of machine learning research.;https://link.springer.com/chapter/10.1007/978-3-642-04174-7_56;O2F0gueW7N4J
Patel, S., McGinnis, R. S., Silva, I., DiCristofaro, S., Mahadevan, N., Jortberg, E., ... & Ghaffari, R. (2016, August). A wearable computing platform for developing cloud-based machine learning models for health monitoring applications. In 2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 5997-6001). IEEE.;7_edge_computing_deep_learning;2016;A wearable computing platform for developing cloud-based machine learning models for health monitoring applications;Shyamal Patel, Ryan S McGinnis, Ikaro Silva, Steve DiCristofaro, Nikhil Mahadevan, Elise Jortberg, Jaime Franco, Albert Martin, Joseph Lust, Milan Raj, Bryan McGrane, Paolo DePetrillo, AJ Aranyosi, Melissa Ceruolo, Jesus Pindado, Roozbeh Ghaffari;2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC), 5997-6001, 2016;Wearable sensors have the potential to enable clinical-grade ambulatory health monitoring outside the clinic. Technological advances have enabled development of devices that can measure vital signs with great precision and significant progress has been made towards extracting clinically meaningful information from these devices in research studies. However, translating measurement accuracies achieved in the controlled settings such as the lab and clinic to unconstrained environments such as the home remains a challenge. In this paper, we present a novel wearable computing platform for unobtrusive collection of labeled datasets and a new paradigm for continuous development, deployment and evaluation of machine learning models to ensure robust model performance as we transition from the lab to home. Using this system, we train activity classification models across two studies and track changes in model performance as we go from constrained to unconstrained settings.;https://ieeexplore.ieee.org/abstract/document/7592095/;Je_-v_vDiFEJ
Ellis, C. A., Gu, P., Sendi, M. S., Huddleston, D., Sharma, A., & Mahmoudi, B. (2019, July). A Cloud-based Framework for Implementing Portable Machine Learning Pipelines for Neural Data Analysis. In 2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 4466-4469). IEEE.;1_ml_machine_data_learning;2019;A Cloud-based Framework for Implementing Portable Machine Learning Pipelines for Neural Data Analysis;Charles A Ellis, Ping Gu, Mohammad SE Sendi, Daniel Huddleston, Ashish Sharma, Babak Mahmoudi;2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC), 4466-4469, 2019;Cloud-based computing has created new avenues for innovative research. In recent years, numerous cloud-based, data analysis projects within the biomedical domain have been implemented. As this field is likely to grow, there is a need for a unified platform for the developing and testing of advanced analytic and modeling tools that enables those tools to be easily reused for biomedical data analysis by a broad set of users with diverse technical skills. A cloud-based platform of this nature could greatly assist future research endeavors. In this paper, we take the first step towards building such a platform. We define an approach by which containerized analytic pipelines can be distributed for use on cloud-based or on-premise computing platforms. We demonstrate our approach by implementing a portable biomarker identification pipeline using a logistic regression model with elastic net regularization (LR-ENR) and running it on Google Cloud. We used this pipeline for the diagnosis of Parkinson's disease based on a combination of clinical, demographic, and MRI-based features and for the identification of the most predictive biomarkers.;https://ieeexplore.ieee.org/abstract/document/8856929/;dfeOz7_XwwEJ
Shin, M., Kim, J., Mohaisen, A., Park, J., & Lee, K. H. (2018, June). Neural network syntax analyzer for embedded standardized deep learning. In Proceedings of the 2nd International Workshop on Embedded and Mobile Deep Learning (pp. 37-41).;7_edge_computing_deep_learning;2018;Neural network syntax analyzer for embedded standardized deep learning;MyungJae Shin, Joongheon Kim, Aziz Mohaisen, Jaebok Park, Kyung Hee Lee;Proceedings of the 2nd International Workshop on Embedded and Mobile Deep Learning, 37-41, 2018;Deep learning frameworks based on the neural network model have attracted a lot of attention recently for their potential in various applications. Accordingly, recent developments in the fields of deep learning configuration platforms have led to renewed interests in neural network unified format (NNUF) for standardized deep learning computation. The attempt of making NNUF becomes quite challenging because primarily used platforms change over time and the structures of deep learning computation models are continuously evolving. This paper presents the design and implementation of a parser of NNUF for standardized deep learning computation. We call the platform implemented with the neural network exchange framework (NNEF) standard as the NNUF. This framework provides platform-independent processes for configuring and training deep learning neural networks, where the independence is offered by the NNUF model. This model allows us to configure all components of neural network graphs. Our framework also allows the resulting graph to be easily shared with other platform-dependent descriptions which configure various neural network architectures in their own ways. This paper presents the details of the parser design, JavaCC-based implementation, and initial results.;https://dl.acm.org/doi/abs/10.1145/3212725.3212727;Rj-MVszbGIMJ
Damiani, E., & Frati, F. (2018). Towards conceptual models for machine learning computations. In Conceptual Modeling: 37th International Conference, ER 2018, Xi'an, China, October 22–25, 2018, Proceedings 37 (pp. 3-9). Springer International Publishing.;1_ml_machine_data_learning;2018;Towards Conceptual Models for Machine Learning Computations;Ernesto Damiani, Fulvio Frati; Lecture Notes in Computer Science book series (LNISA,volume 11157);We make the case for conceptual models that give the human designer full visibility and control over key aspects of ML applications, including input data preparation, training and inference of the ML models. Our models aim to: (i) achieve better documentation of ML analytics (ii) provide a foundation for a chain of trust in the ML analytics outcome (iii) provide a lever to enforce ethical and legal constraints within the ML pipeline. Representational models can dramatically increase reusability of large-scale ML analytics, while decreasing their roll-out time and cost. Also, they will support novel solutions to time-honored issues of analytics like non-uniform data veracity, privacy and latency profiles.;https://link.springer.com/chapter/10.1007/978-3-030-00847-5_1;Todo
Bacciu, D., Biggio, B., Lisboa, P. J., Martin Guerrero, J. D., Oneto, L., & Vellido Alcacena, A. (2019). Societal issues in machine learning: When learning from data is not enough. In ESANN 2019, 27th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning: Bruges, April 24-25-26, 2019: proceedings (pp. 455-464). European Symposium on Artificial Neural Networks (ESANN).;12_ai_ethical_ethic_intelligence;2019;Societal issues in machine learning: When learning from data is not enough;Davide Bacciu, Battista Biggio, Paulo JG Lisboa, Jose David Martin Guerrero, Luca Oneto, Alfredo Vellido Alcacena;ESANN 2019, 27th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning: Bruges, April 24-25-26, 2019: proceedings, 455-464, 2019;It has been argued that Artificial Intelligence (AI) is experiencing a fast process of commodification. Such characterization is on the interest of big IT companies, but it correctly reflects the current industrialization of AI. This phenomenon means that AI systems and products are reaching the society at large and, therefore, that societal issues related to the use of AI and Machine Learning (ML) cannot be ignored any longer. Designing ML models from this human-centered perspective means incorporating human-relevant requirements such as safety, fairness, privacy, and interpretability, but also considering broad societal issues such as ethics and legislation. These are essential aspects to foster the acceptance of ML-based technologies, as well as to ensure compliance with an evolving legislation concerning the impact of digital technologies on ethically and privacy sensitive matters. The ESANN special session for which this tutorial acts as an introduction aims to showcase the state of the art on these increasingly relevant topics among ML theoreticians and practitioners. For this purpose, we welcomed both solid contributions and preliminary relevant results showing the potential, the limitations and the challenges of new ideas, as well as refinements, or hybridizations among the different fields of research, ML and related approaches in facing real-world problems involving societal issues.;https://upcommons.upc.edu/handle/2117/179507;2dB8XHthGKUJ
Ducuing, C., Oneto, L., & Petralli, S. (2019). Fairness and Accountability of machine learning Models in Railway Market: are Applicable Railway Laws Up to Regulate Them?. https://www. elen. ucl. ac. be/esann/index. php? pg= welcome.;6_fairness_discrimination_bias_decision;2019;Fairness and Accountability of machine learning Models in Railway Market: are Applicable Railway Laws Up to Regulate Them?;Charlotte Ducuing, Luca Oneto, Simone Petralli;https://www. elen. ucl. ac. be/esann/index. php? pg= welcome, 2019;In this work we discuss whether the law is up to regulate the use of machine learning model in the context of the railway public transportation system. In particular, we deal with the problems of fairness and accountability of these models when exploited in the context of train traffic management. Railway sector-specific regulation, in their quality as network industry, hereby serves as a pilot. We show that, even where technological solutions are available, the law needs to keep up to support and accurately regulate the use of the technological solutions and we identify stumble points in this regard.;https://lirias.kuleuven.be/retrieve/526441;iH9HZGIsEmIJ
Galhotra, S., Brun, Y., & Meliou, A. (2017, August). Fairness testing: testing software for discrimination. In Proceedings of the 2017 11th Joint meeting on foundations of software engineering (pp. 498-510).;6_fairness_discrimination_bias_decision;2017;Fairness testing: testing software for discrimination;Sainyam Galhotra, Yuriy Brun, Alexandra Meliou;Proceedings of the 2017 11th Joint meeting on foundations of software engineering, 498-510, 2017;This paper defines software fairness and discrimination and develops a testing-based method for measuring if and how much software discriminates, focusing on causality in discriminatory behavior. Evidence of software discrimination has been found in modern software systems that recommend criminal sentences, grant access to financial products, and determine who is allowed to participate in promotions. Our approach, Themis, generates efficient test suites to measure discrimination. Given a schema describing valid system inputs, Themis generates discrimination tests automatically and does not require an oracle. We evaluate Themis on 20 software systems, 12 of which come from prior work with explicit focus on avoiding discrimination. We find that (1) Themis is effective at discovering software discrimination, (2) state-of-the-art techniques for removing discrimination from algorithms fail in many situations, at times discriminating against as much as 98% of an input subdomain, (3) Themis optimizations are effective at producing efficient test suites for measuring discrimination, and (4) Themis is more efficient on systems that exhibit more discrimination. We thus demonstrate that fairness testing is a critical aspect of the software development cycle in domains with possible discrimination and provide initial tools for measuring software discrimination.;https://dl.acm.org/doi/abs/10.1145/3106237.3106277;0vd3BmHCWaAJ
Du, X., Xie, X., Li, Y., Ma, L., Liu, Y., & Zhao, J. (2019, August). Deepstellar: Model-based quantitative analysis of stateful deep learning systems. In Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (pp. 477-487).;4_dl_testing_deep_network;2019;Deepstellar: Model-based quantitative analysis of stateful deep learning systems;Xiaoning Du, Xiaofei Xie, Yi Li, Lei Ma, Yang Liu, Jianjun Zhao;Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, 477-487, 2019;Deep Learning (DL) has achieved tremendous success in many cutting-edge applications. However, the state-of-the-art DL systems still suffer from quality issues. While some recent progress has been made on the analysis of feed-forward DL systems, little study has been done on the Recurrent Neural Network (RNN)-based stateful DL systems, which are widely used in audio, natural languages and video processing, etc. In this paper, we initiate the very first step towards the quantitative analysis of RNN-based DL systems. We model RNN as an abstract state transition system to characterize its internal behaviors. Based on the abstract model, we design two trace similarity metrics and five coverage criteria which enable the quantitative analysis of RNNs. We further propose two algorithms powered by the quantitative measures for adversarial sample detection and coverage-guided test generation. We evaluate DeepStellar on four RNN-based systems covering image classification and automated speech recognition. The results demonstrate that the abstract model is useful in capturing the internal behaviors of RNNs, and confirm that (1) the similarity metrics could effectively capture the differences between samples even with very small perturbations (achieving 97% accuracy for detecting adversarial samples) and (2) the coverage criteria are useful in revealing erroneous behaviors (generating three times more adversarial samples than random testing and hundreds times more than the unrolling approach).;https://dl.acm.org/doi/abs/10.1145/3338906.3338954;R1r-ZW6SAJ0J
Zhao, H., Liang, J., Yin, X., Yang, L., Yang, P., & Wang, Y. (2018, October). Domain-specific ModelWare: to make the machine learning model reusable and reproducible. In Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (pp. 1-2).;1_ml_machine_data_learning;2018;Domain-specific modelware to make the machine learning model reusable and reproducible;Hui Zhao, Jimin Liang, Xuezhen Yin, Lingfeng Yang, Peili Yang, Yuhang Wang;Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, 1-2, 2018;Machine learning task is a routine process including data collection, feature engineering, model training, hyper-parameters tuning, model evaluation and model deployment. The process is usually complex, iterated and time-consuming. Commonly, researchers seldom start building the machine model from scratch. They may select some well-known and well-trained models in similar task domains as the reference models. Then they try to tune the hyper-parameters and accelerate the iteration. Thus, some models are often reused and need to be reproduced by using new training dataset. Moreover, understanding the model and the iteration is more necessary. This scenario is very similar to that of software reuse. In this poster, we propose Modelware and argue the need of Modelware to make the machine learning model reusable and reproducible. We define the Modelware which is the reused object and develop a model repository to provide the model lineage management and model visit tool. The big data for building model is managed collaboratively so that the model can be reproduced. The iteration process to obtain the final optimized model is abstracted and implemented using a lightweight workflow. Finally, we take two different classification tasks as the demonstration.;https://dl.acm.org/doi/abs/10.1145/3239235.3267439;6HGX7aeB4GIJ
Papernot, N., McDaniel, P., Sinha, A., & Wellman, M. P. (2018, April). Sok: Security and privacy in machine learning. In 2018 IEEE European Symposium on Security and Privacy (EuroS&P) (pp. 399-414). IEEE.;5_adversarial_attack_example_model;2018;Sok: Security and privacy in machine learning;Nicolas Papernot, Patrick McDaniel, Arunesh Sinha, Michael P. Wellman;2018 IEEE European Symposium on Security and Privacy (EuroS&P);Advances in machine learning (ML) in recent years have enabled a dizzying array of applications such as data analytics, autonomous systems, and security diagnostics. ML is now pervasive-new systems and models are being deployed in every domain imaginable, leading to widespread deployment of software based inference and decision making. There is growing recognition that ML exposes new vulnerabilities in software systems, yet the technical community's understanding of the nature and extent of these vulnerabilities remains limited. We systematize findings on ML security and privacy, focusing on attacks identified on these systems and defenses crafted to date.We articulate a comprehensive threat model for ML, and categorize attacks and defenses within an adversarial framework. Key insights resulting from works both in the ML and security communities are identified and the effectiveness of approaches are related to structural elements of ML algorithms and the data used to train them. In particular, it is apparent that constructing a theoretical understanding of the sensitivity of modern ML algorithms to the data they analyze, à la PAC theory, will foster a science of security and privacy in ML.;https://ieeexplore.ieee.org/abstract/document/8406613;Todo
Arras, L., Arjona-Medina, J., Widrich, M., Montavon, G., Gillhofer, M., Müller, K. R., ... & Samek, W. (2019). Explaining and interpreting LSTMs. Explainable ai: Interpreting, explaining and visualizing deep learning, 211-238.;11_deep_network_model_layer;2019;Explaining and interpreting LSTMs;Leila Arras, José Arjona-Medina, Michael Widrich, Grégoire Montavon, Michael Gillhofer, Klaus-Robert Müller, Sepp Hochreiter, Wojciech Samek;Explainable ai: Interpreting, explaining and visualizing deep learning, 211-238, 2019;While neural networks have acted as a strong unifying force in the design of modern AI systems, the neural network architectures themselves remain highly heterogeneous due to the variety of tasks to be solved. In this chapter, we explore how to adapt the Layer-wise Relevance Propagation (LRP) technique used for explaining the predictions of feed-forward networks to the LSTM architecture used for sequential data modeling and forecasting. The special accumulators and gated interactions present in the LSTM require both a new propagation scheme and an extension of the underlying theoretical framework to deliver faithful explanations.;https://link.springer.com/chapter/10.1007/978-3-030-28954-6_11;7zimCioTCdgJ
Samek, W., & Müller, K. R. (2019). Towards explainable artificial intelligence. Explainable AI: interpreting, explaining and visualizing deep learning, 5-22.;3_explanation_model_machine_learning;2019;Towards explainable artificial intelligence;Wojciech Samek, Klaus-Robert Müller;Explainable AI: interpreting, explaining and visualizing deep learning, 5-22, 2019;In recent years, machine learning (ML) has become a key enabling technology for the sciences and industry. Especially through improvements in methodology, the availability of large databases and increased computational power, today’s ML algorithms are able to achieve excellent performance (at times even exceeding the human level) on an increasing number of complex tasks. Deep learning models are at the forefront of this development. However, due to their nested non-linear structure, these powerful models have been generally considered “black boxes”,Black-Box AI not providing any information about what exactly makes them arrive at their predictions. Since in many applications, e.g., in the medical domain, such lack of transparency may be not acceptable, the development of methods for visualizing, explaining and interpreting deep learning models has recently attracted increasing attention. This introductory paper presents recent developments and applications in this field and makes a plea for a wider use of explainable learning algorithms in practice.;https://link.springer.com/chapter/10.1007/978-3-030-28954-6_1;3am4zxoEBvEJ
Mitchell, M., Wu, S., Zaldivar, A., Barnes, P., Vasserman, L., Hutchinson, B., ... & Gebru, T. (2019, January). Model cards for model reporting. In Proceedings of the conference on fairness, accountability, and transparency (pp. 220-229).;3_explanation_model_machine_learning;2019;Model cards for model reporting;Margaret Mitchell, Simone Wu, Andrew Zaldivar, Parker Barnes, Lucy Vasserman, Ben Hutchinson, Elena Spitzer, Inioluwa Deborah Raji, Timnit Gebru;Proceedings of the conference on fairness, accountability, and transparency, 220-229, 2019;Trained machine learning models are increasingly used to perform high-impact tasks in areas such as law enforcement, medicine, education, and employment. In order to clarify the intended use cases of machine learning models and minimize their usage in contexts for which they are not well suited, we recommend that released models be accompanied by documentation detailing their performance characteristics. In this paper, we propose a framework that we call model cards, to encourage such transparent model reporting. Model cards are short documents accompanying trained machine learning models that provide benchmarked evaluation in a variety of conditions, such as across different cultural, demographic, or phenotypic groups (e.g., race, geographic location, sex, Fitzpatrick skin type [15]) and intersectional groups (e.g., age and race, or sex and Fitzpatrick skin type) that are relevant to the intended application domains. Model cards also disclose the context in which models are intended to be used, details of the performance evaluation procedures, and other relevant information. While we focus primarily on human-centered machine learning models in the application fields of computer vision and natural language processing, this framework can be used to document any trained machine learning model. To solidify the concept, we provide cards for two supervised models: One trained to detect smiling faces in images, and one trained to detect toxic comments in text. We propose model cards as a step towards the responsible democratization of machine learning and related artificial intelligence technology, increasing transparency into how well artificial intelligence technology works. We hope this work encourages those releasing trained machine learning models to accompany model releases with similar detailed evaluation numbers and other relevant documentation.;https://dl.acm.org/doi/abs/10.1145/3287560.3287596;rW8B7kegIYAJ
Selbst, A. D., Boyd, D., Friedler, S. A., Venkatasubramanian, S., & Vertesi, J. (2019, January). Fairness and abstraction in sociotechnical systems. In Proceedings of the conference on fairness, accountability, and transparency (pp. 59-68).;6_fairness_discrimination_bias_decision;2019;Fairness and abstraction in sociotechnical systems;Andrew D Selbst, Danah Boyd, Sorelle A Friedler, Suresh Venkatasubramanian, Janet Vertesi;Proceedings of the conference on fairness, accountability, and transparency, 59-68, 2019;"A key goal of the fair-ML community is to develop machine-learning based systems that, once introduced into a social context, can achieve social and legal outcomes such as fairness, justice, and due process. Bedrock concepts in computer science---such as abstraction and modular design---are used to define notions of fairness and discrimination, to produce fairness-aware learning algorithms, and to intervene at different stages of a decision-making pipeline to produce ""fair"" outcomes. In this paper, however, we contend that these concepts render technical interventions ineffective, inaccurate, and sometimes dangerously misguided when they enter the societal context that surrounds decision-making systems. We outline this mismatch with five ""traps"" that fair-ML work can fall into even as it attempts to be more context-aware in comparison to traditional data science. We draw on studies of sociotechnical systems in Science and Technology Studies to explain why such traps occur and how to avoid them. Finally, we suggest ways in which technical designers can mitigate the traps through a refocusing of design in terms of process rather than solutions, and by drawing abstraction boundaries to include social actors rather than purely technical ones.";https://dl.acm.org/doi/abs/10.1145/3287560.3287598;wmI-iBOrx7kJ
Bhatt, U., Xiang, A., Sharma, S., Weller, A., Taly, A., Jia, Y., ... & Eckersley, P. (2020, January). Explainable machine learning in deployment. In Proceedings of the 2020 conference on fairness, accountability, and transparency (pp. 648-657).;3_explanation_model_machine_learning;2020;Explainable machine learning in deployment;Umang Bhatt, Alice Xiang, Shubham Sharma, Adrian Weller, Ankur Taly, Yunhan Jia, Joydeep Ghosh, Ruchir Puri, JosÃ© MF Moura, Peter Eckersley;Proceedings of the 2020 conference on fairness, accountability, and transparency, 648-657, 2020;Explainable machine learning offers the potential to provide stakeholders with insights into model behavior by using various methods such as feature importance scores, counterfactual explanations, or influential training data. Yet there is little understanding of how organizations use these methods in practice. This study explores how organizations view and use explainability for stakeholder consumption. We find that, currently, the majority of deployments are not for end users affected by the model but rather for machine learning engineers, who use explainability to debug the model itself. There is thus a gap between explainability in practice and the goal of transparency, since explanations primarily serve internal stakeholders rather than external ones. Our study synthesizes the limitations of current explainability techniques that hamper their use for end users. To facilitate end user interaction, we develop a framework for establishing clear goals for explainability. We end by discussing concerns raised regarding explainability.;https://dl.acm.org/doi/abs/10.1145/3351095.3375624;FtzdTrwBM6UJ
Friedler, S. A., Scheidegger, C., Venkatasubramanian, S., Choudhary, S., Hamilton, E. P., & Roth, D. (2019, January). A comparative study of fairness-enhancing interventions in machine learning. In Proceedings of the conference on fairness, accountability, and transparency (pp. 329-338).;6_fairness_discrimination_bias_decision;2019;A comparative study of fairness-enhancing interventions in machine learning;Sorelle A Friedler, Carlos Scheidegger, Suresh Venkatasubramanian, Sonam Choudhary, Evan P Hamilton, Derek Roth;Proceedings of the conference on fairness, accountability, and transparency, 329-338, 2019;Computers are increasingly used to make decisions that have significant impact on people's lives. Often, these predictions can affect different population subgroups disproportionately. As a result, the issue of fairness has received much recent interest, and a number of fairness-enhanced classifiers have appeared in the literature. This paper seeks to study the following questions: how do these different techniques fundamentally compare to one another, and what accounts for the differences? Specifically, we seek to bring attention to many under-appreciated aspects of such fairness-enhancing interventions that require investigation for these algorithms to receive broad adoption.We present the results of an open benchmark we have developed that lets us compare a number of different algorithms under a variety of fairness measures and existing datasets. We find that although different algorithms tend to prefer specific formulations of fairness preservations, many of these measures strongly correlate with one another. In addition, we find that fairness-preserving algorithms tend to be sensitive to fluctuations in dataset composition (simulated in our benchmark by varying training-test splits) and to different forms of preprocessing, indicating that fairness interventions might be more brittle than previously thought.;https://dl.acm.org/doi/abs/10.1145/3287560.3287589;7wKXqWXrSAQJ
Sangroya, A., Anantaram, C., Rawat, M., & Rastogi, M. (2019, August). Using Formal Concept Analysis to Explain Black Box Deep Learning Classification Models. In FCA4AI@ IJCAI (pp. 19-26).;3_explanation_model_machine_learning;2019;Using Formal Concept Analysis to Explain Black Box Deep Learning Classification Models.;Amit Sangroya, C Anantaram, Mrinal Rawat, Mouli Rastogi;FCA4AI@ IJCAI, 19-26, 2019;Recently many machine learning based AI systems have been designed as black boxes. These are the systems that hide the internal logic from the users. Lack of transparency in decision making limits their use in various real world applications. In this paper, we propose a framework that utilizes formal concept analysis to explain AI models. We use classification analysis to study abnormalities in the data which is further used to explain the outcome of machine learning model. The ML method used to demonstrate the ideas is two class classification problem. We validate the proposed framework using a real world machine learning task: diabetes prediction. Our results show that using a formal concept analysis approach can result in better explanations.;https://inria.hal.science/hal-02431335/file/proceedings_fca4ai_2019.pdf#page=20;FsRdioa0R8sJ
